<<<<<<< HEAD
﻿faixa-etaria;genero;escolaridade;graduacao;atividade;conhece-chatgpt;utilizou-chatgpt;porque-utilizou-chatgpt;paraque-utilizou-chatgpt;grau-entendimento-perguntas;"percentual-resposta-errada
"; percentual-utilizadas;"utilidade
";"satisfatoria-experiencia
";"experiencia-com-chatgpt
";melhorias;utilizou-outros-ia  ;quais-ia;facilidade-uso-outras-ia;vantagem-desvantagem-outras-ia;beneficios-ia-profissao;outra-ia-facilite-trabalho;"o-que-deveria-propiciar
";quanto-ia-substituir;quando-ia-capacidade-substituir;quais-substituidos-ia;comentarios;;;;;;
25 -34;Feminino;Superior Incompleto;Não;Desempregada (mas sou criadora de conteúdo digital há 1 ano e 4 meses);Sim;Sim;Diversão/Curiosidade, Assistência profissional;Geração de ideias, Criação de conteúdo;4;2;4;4;3;5;Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Incorporação de conhecimento especializado em áreas específicas., Aumento da capacidade de compreender e gerar conteúdo multilíngue., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Siri (Apple), Cortana (Microsoft), Google Translate, Bing;Melhores;;Aumento da produtividade, Otimização de tempo, Automatização de tarefas;não;Revisão de conteúdos meus já feitos e Analise de conteúdos de concorrentes, para poder tirar os melhores insights e se inspirar.;1;Não sei dizer;Acredito que sem o aspecto emocional a IA não conseguiria tomar espaço. Eu, como criadora de conteúdo de beleza e futura maquiadora, prezo muito pelo que é real, pelas dores e necessidades das pessoas, por historias e superações. O segmento de beleza traz por si só a questão do cuidado e do afeto e, pra mim, seria incoerente ver a IA tomando esse lugar (mesmo que fosse treinada, o que já não é algo que vem naturalmente) e aplaudindo isso. ;;;;;;;
25 -34;Feminino;Doutorado;Relações Públicas;Inovação;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Ajuda com resolução de problemas, Criaçao de imagens;4;2;4;5;4;4;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Identificação de informações incorretas ou falsas., Aumento da capacidade de compreender e gerar conteúdo multilíngue., Habilidade de identificar sarcasmo e ironia., Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Fornecimento de referências e citações (reais)., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Google Assistant, Alexa (Amazon), DALL-E, Google Translate, Shazam;Iguais;As outras ferramentas possuem mais formatos (imagem, por exemplo) e possbilidades de integração com outras interces, mas acredito que já possam até estar disponíveis em versão premium do ChatGPT oue já estejam desenvolvendo algo nesse sentido.;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;DALL-E para design gráfico;Acredito que já exista outras IAs para facilitar meu trabalho, mas já existem tantas que não sei qual a função de cada uma. Seria interessante alguma para gerar workflows, planos de negócio apenas inserindo as informações principais, e depois o profissional humano apenas revisar e refinar.;3;Não sei dizer;Não sei se chegaria a substituir, pois ainda há necessidade de revisão e pensamento crítico sobre respostas geradas por IA. Por vezes as respostas ainda são incorretas, ou são generalistas demais e dependem de ajustes a contextos muito específicos, e é um agente humano capacitado e responsável por isso.;;;;;;;
40-49;Masculino;Doutorado;Business and Management ;Doutorado ;Sim;Sim;Assistência pessoal, Assistência profissional;Revisão de textos, Geração de ideias, Criação de conteúdo;4;3;3;4;5;4;Melhoria na compreensão de textos, Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Sim;Firefly ;Iguais;Geração de imagens ;Aumento da produtividade, Otimização de tempo;Nao;Análise efetiva de textos, revisão de literatura ;3;Não sei dizer;;;;;;;;
18 -24;Feminino;Superior Incompleto;Ciência da Computação ;Ciências de Dados;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Ajuda com tarefas escolares, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Tradução, Ajuda com resolução de problemas;3;3;4;4;4;4;Melhoria na compreensão de textos, Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Fornecimento de referências e citações (reais)., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Siri (Apple), Google Assistant, Cortana (Microsoft), Google Translate, Shazam, Outro ChatBot (seja em website e/ou WhatsApp);Piores;;Aumento da produtividade, Otimização de tempo, Automatização de tarefas;Não;Análise profunda dos dados, testes estatísticos, identificação de hipóteses corretas;1;Em um futuro distante;;;;;;;;
40-49;Feminino;Doutorado;Arquitetura e Urbanismo;Arquiteta;Sim;Sim;Assistência pessoal, Assistência profissional;Geração de ideias, Criação de conteúdo;5;3;4;4;4;4;Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Midjourney, Google Translate, Shazam, Outro ChatBot (seja em website e/ou WhatsApp);Iguais;;Melhoria da tomada de decisão, Análise avançada de dados;"Veras aplicado ao desenho 3D; Midjourney e Blue Willow gerador de imagens";Auxílio no processo criativo;3;Em um futuro distante;Desenho técnico ;;;;;;;
25 -34;Feminino;Superior Completo;Bacharel em Ciências e Tecnologia com Ênfase em Engenharia de Materiais;Analista de dados | BI;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Revisão de textos, Geração de ideias, Curiosidades e fatos triviais, Tradução, Ajuda com resolução de problemas;4;3;4;5;5;5;Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Google Translate, Shazam;Iguais;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não;Mais facilidade na análise de dados, mais interação e diminuição do caminho;3;Em um futuro próximo;;;;;;;;
18 -24;Feminino;Superior Incompleto;Licenciatura em computação;Aux financeiro;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Curiosidades e fatos triviais, Ajuda com resolução de problemas;4;3;4;5;3;5;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Interação em caso de dúvida em relação à pergunta.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Watson Assistant (IBM), Bixby (Samsung), DALL-E, Google Translate;Iguais;;Aumento da produtividade, Redução de erros humanos, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não;Magic Write, Cactus, Izea entre outras.;3;Não sei dizer;Ja temos algumas funcionalidades com IA;Acho a IA incrível, me auxilia de um tanto, porém tem que saber dosar sua utilização, e sempre ao seu favor ;;;;;;
25 -34;Feminino;Pós Graduação (MBA);Publicidade e Propaganda;Coaching de carreira;Sim;Sim;Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Tradução;4;2;3;5;5;5;Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Habilidade de identificar sarcasmo e ironia., Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Geração de respostas mais criativas e inovadoras., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel);Não;;;;Aumento da produtividade, Redução de erros humanos, Otimização de tempo, Análise avançada de dados;Não;Não consigo refletir sobre no momento;3;Não sei dizer;Observo que em minha área a sensibilidade humana sempre será insubstituível. O IA pode auxiliar a compreender de forma mais simples alguns aspectos, como perfis comportamentais, mapas de preferencias.. Coisas do tipo, mas a devolutiva e diagnostico dos relatórios sempre será primordial o contato pessoa-pessoa. ;;;;;;;
25 -34;Masculino;Pós Graduação (MBA);Comunicação Social ;Mídia ;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Geração de ideias, Criação de conteúdo, Ajuda com resolução de problemas;3;3;4;5;5;5;Identificação de informações incorretas ou falsas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Google Translate, Outro ChatBot (seja em website e/ou WhatsApp);Muito piores;;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo;Não ;Aumento da produtividade ;3;Em um futuro próximo;Assistentes de comunicação;;;;;;;
40-49;Masculino;Pós Graduação (MBA);Bacharel em Direito;Advocacia ;Não;Não;;;;;;;;;;;Siri (Apple), Google Assistant, Google Translate;Nunca utilizei outras ferramentas.;;Melhoria da tomada de decisão;Não ;Linha predominante de entendimento sobre um assunto ;1;Não sei dizer;Nenhuma, cada caso tem suas particularidades e soluções precisam ser buscadas individualmente ;;;;;;;
